id,Address,Response_Address,Response_X,Response_Y
1,新北市汐止區樟樹一路137巷26號2樓,,,
2,新北市三重區重新路五段511號2樓,,,
3,新北市板橋區漢生東路258號2樓,,,
4,新北市中和區捷運路56號2樓,,,
5,新北市新店區安康路2段120號2樓,,,
6,新北市泰山區全興路212號3樓,,,
7,新北市新莊區昌平街200號,,,
8,新北市林口區文化一路一段137號3樓,,,
9,新北市三重區大有街10號,,,
10,新北市板橋區大觀路一段30號,,,
11,新北市土城區中正路18號2樓,,,
12,新北市永和區國光路116巷2號2、3樓,,,
13,新北市淡水區淡海路111號2樓,,,
14,新北市蘆洲區民族路7號,,,
15,新北市蘆洲區長安街96號2樓,,,
16,新北市樹林區保安街1段7號1、2樓,,,
17,新北市汐止區中興路250號2樓,,,
18,新北市鶯歌區永明街22號2樓,,,
19,新北市新店區安和路3段100號,,,
20,新北市土城區學府路1段127號,,,
21,新北市中和區中和路100號,,,
22,新北市樹林區保安街2段151號,,,
23,新北市新莊區中正路新生巷66號,,,
24,新北市三峽區中山路175號,,,
25,新北市三重區重新路1段108號,,,
26,新北市五股區五工六路9號2樓,,,
27,新北市泰山區明志路1段427號2、3樓,,,
28,新北市中和區民享街37號2樓,,,
29,新北市三峽區光明路71號2樓,,,
30,新北市中和區圓通路292號2-3樓,,,
31,新北市新店區寶橋路8號,,,
32,新北市淡水區大義街18號,,,
33,新北市八里區舊城路19號2樓,,,
34,新北市板橋區四川路2段245巷60號,,,
35,新北市三峽區弘園街22號,,,
36,新北市新店區北宜路2段80號,,,
37,新北市板橋區中正路325巷30號,,,
38,新北市蘆洲區長安街311號,,,
39,新北市三重區大同南路157號,,,
40,新北市林口區忠孝二路55號1樓,,,
41,新北市新店區安民街79號,,,
42,新北市蘆洲區集賢路245號3樓,,,
43,新北市板橋區中正路10號2樓,,,
44,新北市新莊區中港一街142號,,,
45,新北市樹林區三福街52號,,,
46,新北市三峽區學成路396號2樓,,,
47,新北市林口區公園路59號2樓,,,
48,新北市樹林區千歲街59號,,,
49,新北市中和區景德街23號,,,
50,新北市中和區景新街467巷37號,,,
51,新北市新莊區昌隆街63號,,,
52,新北市五股區芳洲八路79號,,,
53,新北市汐止區忠孝東路3號,,,
54,新北市永和區竹林路79號,,,
55,新北市土城區裕生路65號,,,
56,新北市新莊區裕民街123號之1,,,
57,新北市土城區興城路17號,,,
58,新北市新莊區樹新路226號3樓,,,
59,新北市瑞芳區明燈路3段2號2樓,,,
60,新北市深坑區北深路2段136巷5號,,,
61,新北市新莊區自立街229號2-3樓,,,
62,新北市新莊區瓊泰路116號1-2樓,,,
63,新北市林口區湖北里後湖17-6號2樓,,,
64,臺北市松山區民生東路5段163-1號3樓,,,
65,臺北市中山區玉門街1號,,,
66,臺北市北投區光明路22號1-2樓,,,
67,臺北市大同區涼州街2-16號1-2樓,,,
68,臺北市木柵路一段177號2樓,,,
69,臺北市士林區基河路130號1樓,,,
70,臺北市內湖區內湖路一段659號2樓,,,
71,臺北市萬華區水源路199號2樓,,,
72,臺北市南港區八德路四段768-1號1-2樓,,,
73,臺北市大安區延吉街246巷10號1-3樓,,,
74,臺北市信義區松勤街50號1樓,,,
75,臺北市中正區仁愛路1段17號3樓,,,
76,桃園市大園區和平東路89號3樓,,,
77,桃園市八德區福國北街220號2樓,,,
